LABELS,URLS
Fire truck,https://youtu.be/0usXEzuKdkU
Red bus,https://youtu.be/lDBvf8SoQuc
school bus,https://youtu.be/nK4_8-U-Y9I
dad,https://youtu.be/1Vllc4F5ic0
girl,https://youtu.be/pwh3cOdoiG4
ball,https://youtu.be/vnmpdsQdbFc
car,https://youtu.be/-NTyYtAyUPI
pig,https://youtu.be/WaW7OJUi_nc
dog,https://youtu.be/IbpJtH_QssM
spoon,https://youtu.be/rm6mQjjISzo
fork,https://youtu.be/OaHfBWpqCVs
pencil,https://youtu.be/2B3O856BsIw
water bottle,https://youtu.be/ysYTy0Ht3vg
bowl,https://youtu.be/hjnlnZAbGgM
telephone,https://youtu.be/fgg7qxjYh_0
book,https://youtu.be/Kwvw-K6GYW8
dinosaur,https://youtu.be/wuyO7A10nWk
Banana,https://youtu.be/4yKyCDC-Tdc
Apple,https://youtu.be/3wIiujOP6Ag
coin,https://youtu.be/RiWLV41yQmg
toothbrush,https://youtu.be/ahzWrD_sgrY
