LABELS,URLS
aeroplane,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/plane.webm
bicycle,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/bicycle-bike-ASL.mp4
bird,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/2015/07/bird.webm
boat,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/2015/07/boat.webm
bottle,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/bottle.m4v
bus,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/bus.webm
car,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/2015/07/car.webm
cat,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/2015/07/cat.webm
chair,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/chair-3.webm
cow,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/cow-1.mov
diningtable,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/table.m4v
dog,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/2015/07/dog.webm
horse,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/2015/07/horse.webm
motorbike,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/motorcycle.webm
person,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/2015/07/people.webm
pottedplant,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/2015/07/plant.webm
sheep,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/sheep-1.m4v
sofa,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/convertible-sofa-bed-1.mov
train,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/train.m4v
tvmonitor,https://projects.lib.rochester.edu/lsf-asl/wp-content/uploads/television.m4v
